Tarih;Ürün Kategorisi;Ürün Adı;Birim Fiyat (₺);Satış Miktarı;Satış Tutarı (₺);Satış Bölgesi
2025-01-05;Elektronik;Telefon;9032;8;72256;Ankara
2025-01-01;Elektronik;Telefon;19369;14;271166;İstanbul
2025-01-01;Elektronik;Laptop;7643;17;129931;Antalya
2025-01-09;Giyim;Ceket;7243;15;108645;Antalya
2025-01-05;Elektronik;Laptop;13868;11;152548;İzmir
2025-01-04;Giyim;Ayakkabı;3369;3;10107;Bursa
2025-01-24;Gıda;Peynir;19802;9;178218;İstanbul
2025-01-10;Mobilya;Sandalye;12423;3;37269;Antalya
2025-01-25;Gıda;Makarna;2299;2;4598;Ankara
2025-01-09;Gıda;Çikolata;7648;4;30592;Bursa
2025-01-07;Mobilya;Dolap;5349;12;64188;İzmir
2025-01-24;Gıda;Çikolata;19980;6;119880;Antalya
2025-01-30;Giyim;Pantolon;15167;13;197171;İzmir
2025-01-26;Giyim;Ayakkabı;1852;8;14816;İstanbul
2025-01-30;Gıda;Ekmek;8793;3;26379;Ankara
2025-01-05;Gıda;Makarna;16378;13;212914;Bursa
2025-01-09;Gıda;Makarna;8101;18;145818;Antalya
2025-01-17;Mobilya;Koltuk;11881;8;95048;Ankara
2025-01-21;Mobilya;Sandalye;1563;4;6252;Ankara
2025-01-13;Giyim;Ceket;19563;3;58689;Bursa
2025-01-22;Mobilya;Dolap;18148;1;18148;İstanbul
2025-01-06;Gıda;Peynir;3675;10;36750;Bursa
2025-01-17;Mobilya;Sandalye;8650;17;147050;Ankara
2025-01-05;Elektronik;Tablet;16655;20;333100;Ankara
2025-01-20;Gıda;Makarna;17694;17;300798;İstanbul
2025-01-29;Gıda;Ekmek;658;4;2632;İzmir
2025-01-03;Gıda;Makarna;1918;8;15344;Antalya
2025-01-05;Elektronik;Kulaklık;2287;18;41166;Ankara
2025-01-14;Mobilya;Masa;8705;17;147985;Antalya
2025-01-15;Giyim;Pantolon;10234;13;133042;İzmir
2025-01-11;Mobilya;Sandalye;8143;8;65144;İstanbul
2025-01-03;Elektronik;Laptop;19302;8;154416;İstanbul
2025-01-03;Elektronik;Laptop;2228;2;4456;İzmir
2025-01-05;Giyim;Ayakkabı;15926;7;111482;Antalya
2025-01-04;Mobilya;Masa;15518;14;217252;Ankara
2025-01-15;Elektronik;Kulaklık;11629;14;162806;Bursa
2025-01-26;Elektronik;Telefon;2006;13;26078;İzmir
2025-01-15;Elektronik;Laptop;6298;7;44086;Antalya
2025-01-08;Giyim;Ceket;6032;9;54288;Bursa
2025-01-21;Elektronik;Kulaklık;18053;4;72212;İstanbul
2025-01-16;Elektronik;Telefon;7765;6;46590;Bursa
2025-01-13;Mobilya;Masa;13161;2;26322;Ankara
2025-01-14;Elektronik;Kulaklık;8710;15;130650;İzmir
2025-01-02;Mobilya;Masa;6242;10;62420;Ankara
2025-01-16;Elektronik;Tablet;1893;2;3786;Antalya
2025-01-03;Giyim;Tişört;16660;3;49980;Ankara
2025-01-08;Elektronik;Laptop;13250;4;53000;Antalya
2025-01-17;Elektronik;Telefon;13757;19;261383;Antalya
2025-01-09;Gıda;Peynir;6713;11;73843;Ankara
2025-01-30;Mobilya;Masa;9850;15;147750;İzmir
2025-01-04;Elektronik;Telefon;15037;20;300740;Antalya
2025-01-30;Elektronik;Laptop;16596;9;149364;Ankara
2025-01-06;Gıda;Çikolata;8024;12;96288;İzmir
2025-01-10;Mobilya;Dolap;17352;1;17352;Antalya
2025-01-24;Elektronik;Laptop;8686;4;34744;İstanbul
2025-01-23;Giyim;Ayakkabı;9252;20;185040;Ankara
2025-01-09;Gıda;Makarna;8670;17;147390;Bursa
2025-01-01;Elektronik;Telefon;13899;9;125091;İstanbul
2025-01-18;Gıda;Makarna;8603;6;51618;Bursa
2025-01-18;Mobilya;Sandalye;3685;3;11055;Ankara
2025-01-14;Elektronik;Tablet;19107;18;343926;Ankara
2025-01-29;Giyim;Tişört;10121;12;121452;İstanbul
2025-01-25;Gıda;Makarna;8196;4;32784;İzmir
2025-01-29;Mobilya;Masa;7777;6;46662;Ankara
2025-01-26;Mobilya;Sandalye;5897;11;64867;Bursa
2025-01-28;Giyim;Ayakkabı;5236;4;20944;Bursa
2025-01-12;Elektronik;Kulaklık;7308;7;51156;Bursa
2025-01-13;Gıda;Makarna;7324;1;7324;Ankara
2025-01-21;Gıda;Peynir;2294;9;20646;İzmir
2025-01-06;Mobilya;Dolap;924;4;3696;İzmir
2025-01-12;Gıda;Çikolata;3572;20;71440;Bursa
2025-01-13;Gıda;Ekmek;19884;17;338028;İstanbul
2025-01-17;Giyim;Ayakkabı;1474;14;20636;İstanbul
2025-01-20;Giyim;Ayakkabı;14152;3;42456;İzmir
2025-01-22;Gıda;Çikolata;9860;17;167620;İzmir
2025-01-05;Mobilya;Dolap;13205;10;132050;Antalya
2025-01-19;Giyim;Ceket;12443;6;74658;Antalya
2025-01-10;Gıda;Ekmek;17974;1;17974;İzmir
2025-01-15;Giyim;Ceket;19024;20;380480;İzmir
2025-01-26;Mobilya;Koltuk;7022;17;119374;Bursa
2025-01-11;Giyim;Tişört;9319;17;158423;Antalya
2025-01-05;Elektronik;Laptop;10191;8;81528;Ankara
2025-01-28;Elektronik;Telefon;8043;16;128688;Antalya
2025-01-23;Elektronik;Kulaklık;13600;19;258400;Ankara
2025-01-21;Mobilya;Koltuk;13115;8;104920;Ankara
2025-01-26;Elektronik;Telefon;13951;8;111608;Ankara
2025-01-15;Mobilya;Sandalye;18285;8;146280;İstanbul
2025-01-11;Giyim;Ceket;17424;18;313632;Antalya
2025-01-24;Mobilya;Koltuk;17972;15;269580;Ankara
2025-01-25;Mobilya;Koltuk;8513;8;68104;İzmir
2025-01-23;Mobilya;Masa;9018;15;135270;İstanbul
2025-01-29;Gıda;Makarna;8923;11;98153;İzmir
2025-01-23;Elektronik;Laptop;4962;8;39696;Bursa
2025-01-11;Giyim;Pantolon;2124;14;29736;Bursa
2025-01-13;Mobilya;Koltuk;2060;7;14420;Bursa
2025-01-10;Elektronik;Kulaklık;15649;1;15649;İzmir
2025-01-29;Mobilya;Koltuk;17656;18;317808;Antalya
2025-01-16;Giyim;Ceket;7210;9;64890;Bursa
2025-01-27;Elektronik;Kulaklık;11034;13;143442;Ankara
2025-01-19;Mobilya;Masa;17522;1;17522;Bursa
2025-01-06;Elektronik;Telefon;14064;5;70320;Bursa
2025-01-15;Elektronik;Tablet;12442;11;136862;Ankara
2025-01-09;Gıda;Peynir;12443;9;111987;Bursa
2025-01-12;Elektronik;Kulaklık;655;18;11790;İstanbul
2025-01-07;Giyim;Tişört;1339;1;1339;Ankara
2025-01-22;Elektronik;Laptop;7836;5;39180;Bursa
2025-01-06;Elektronik;Laptop;15258;9;137322;İzmir
2025-01-01;Elektronik;Laptop;10212;4;40848;Antalya
2025-01-19;Gıda;Ekmek;13017;7;91119;İstanbul
2025-01-26;Giyim;Tişört;9902;20;198040;İstanbul
2025-01-03;Elektronik;Tablet;17476;14;244664;İzmir
2025-01-14;Gıda;Çikolata;13784;16;220544;İstanbul
2025-01-24;Gıda;Ekmek;5033;14;70462;Ankara
2025-01-09;Gıda;Ekmek;15252;14;213528;Antalya
2025-01-08;Gıda;Makarna;2859;9;25731;Bursa
2025-01-28;Mobilya;Koltuk;11043;1;11043;Bursa
2025-01-26;Gıda;Makarna;15996;7;111972;İzmir
2025-01-18;Gıda;Peynir;9183;20;183660;İzmir
2025-01-16;Elektronik;Laptop;2825;8;22600;Bursa
2025-01-03;Giyim;Ceket;16103;15;241545;İstanbul
